,,All,,,,,,Boys,,,,,,Girls,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils who achieved A*-C in English and maths GCSEs,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved A*-C in English and maths GCSEs,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved A*-C in English and maths GCSEs
,,,,,,,,,,,,,,,,,,
E09000001,City of London,.,.,.,.,.,,.,.,.,.,.,,.,.,.,.,.
E09000002,Barking and Dagenham,"2,201",49.7,+0.15,98.1,60.0,,"1,110",47.6,-0.02,97.7,56.8,,"1,091",51.8,+0.32,98.5,63.2
E09000003,Barnet,"3,647",56.1,+0.33,97.6,73.1,,"1,856",54.6,+0.22,97.2,71.4,,"1,791",57.5,+0.44,98.0,74.9
E09000004,Bexley,"3,192",52.2,-0.04,98.2,66.5,,"1,641",50.0,-0.16,98.0,63.1,,"1,551",54.6,+0.08,98.3,70.2
E09000005,Brent,"3,035",51.5,+0.31,97.0,63.8,,"1,515",49.2,+0.15,95.9,59.7,,"1,520",53.7,+0.46,98.2,67.9
E09000006,Bromley,"3,305",53.7,+0.10,97.2,72.2,,"1,587",52.4,+0.04,96.3,70.4,,"1,718",54.9,+0.15,98.0,73.8
E09000007,Camden,"1,422",50.6,0.00,96.1,63.1,,605,45.8,-0.30,94.2,55.7,,817,54.1,+0.23,97.6,68.5
E09000008,Croydon,"3,844",48.5,+0.08,94.6,60.6,,"1,885",45.1,-0.07,92.8,55.0,,"1,959",51.9,+0.22,96.4,66.1
E09000009,Ealing,"2,781",50.9,+0.28,95.5,65.0,,"1,427",48.5,+0.13,94.5,61.2,,"1,354",53.5,+0.44,96.5,69.0
E09000010,Enfield,"3,579",50.4,+0.05,96.5,62.9,,"1,808",48.2,-0.12,95.8,59.1,,"1,771",52.7,+0.23,97.3,66.7
E09000011,Greenwich,"2,204",49.6,-0.01,96.6,60.8,,"1,093",47.7,-0.10,95.7,59.1,,"1,111",51.5,+0.08,97.5,62.6
E09000012,Hackney,"2,038",52.5,+0.35,96.2,69.7,,916,49.5,+0.23,95.9,65.3,,"1,122",54.9,+0.45,96.4,73.4
E09000013,Hammersmith and Fulham,"1,350",54.1,+0.12,96.5,70.1,,649,51.3,-0.02,95.7,65.8,,701,56.7,+0.26,97.3,74.0
