,,All,,,,,,,Boys,,,,,,,Girls,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass
,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,.,.,.,.,.,.,,.,.,.,.,.,.,,.,.,.,.,.,.
E09000002,Barking and Dagenham,"2,199",46.1,+0.17,98.0,40.4,60.0,,"1,119",43.3,0.00,97.7,36.3,56.7,,"1,080",49.1,+0.34,98.3,44.6,63.4
E09000003,Barnet,"3,810",56.0,+0.57,97.9,60.8,76.2,,"1,978",53.1,+0.33,97.2,57.7,73.9,,"1,832",59.1,+0.83,98.6,64.1,78.6
E09000004,Bexley,"3,032",49.6,-0.10,97.5,51.3,69.3,,"1,508",46.9,-0.33,96.7,48.2,66.4,,"1,524",52.3,+0.12,98.4,54.4,72.1
E09000005,Brent,"2,858",49.9,+0.54,97.6,50.9,69.7,,"1,480",47.7,+0.34,96.8,49.7,68.1,,"1,378",52.2,+0.75,98.5,52.2,71.4
E09000006,Bromley,"3,214",50.3,+0.03,96.3,49.5,70.1,,"1,614",46.6,-0.24,94.9,43.8,64.4,,"1,600",53.9,+0.31,97.8,55.3,75.8
E09000007,Camden,"1,533",48.0,+0.07,97.0,47.1,66.2,,649,42.0,-0.37,95.8,38.4,57.0,,884,52.4,+0.39,97.9,53.5,73.0
E09000008,Croydon,"3,452",45.8,+0.07,95.6,42.4,63.4,,"1,669",42.4,-0.15,93.8,39.9,59.7,,"1,783",49.0,+0.27,97.3,44.8,66.9
E09000009,Ealing,"2,853",50.0,+0.53,97.2,52.2,69.4,,"1,393",47.2,+0.29,96.2,49.6,67.5,,"1,460",52.6,+0.76,98.2,54.6,71.2
E09000010,Enfield,"3,414",46.3,+0.08,97.1,41.6,61.4,,"1,745",43.2,-0.21,96.2,37.7,57.2,,"1,669",49.5,+0.39,98.1,45.7,65.8
E09000011,Greenwich,"2,269",44.5,-0.18,96.5,39.4,58.5,,"1,151",42.0,-0.34,96.1,36.6,56.7,,"1,118",47.1,-0.02,96.9,42.4,60.4
E09000012,Hackney,"2,058",49.0,+0.31,97.3,46.7,67.6,,908,45.3,-0.02,96.8,42.8,63.0,,"1,150",51.9,+0.57,97.7,49.7,71.3
E09000013,Hammersmith and Fulham,"1,291",52.9,+0.34,95.5,54.8,70.7,,638,48.9,+0.06,93.9,48.6,66.3,,653,56.7,+0.62,97.1,60.9,75.0
E09000014,Haringey,"2,190",46.3,+0.16,95.3,42.6,62.1,,"1,094",43.5,-0.07,94.2,40.2,58.9,,"1,096",49.1,+0.39,96.4,44.9,65.3
E09000015,Harrow,"2,044",50.7,+0.45,97.0,51.2,68.9,,996,47.7,+0.22,96.6,47.0,66.3,,"1,048",53.4,+0.67,97.3,55.2,71.5
E09000016,Havering,"2,774",46.9,-0.09,96.8,44.2,67.8,,"1,440",45.0,-0.23,95.6,42.6,65.3,,"1,334",48.9,+0.07,98.0,46.0,70.5
E09000017,Hillingdon,"3,064",47.8,+0.15,96.4,47.7,67.0,,"1,572",45.3,-0.08,95.5,45.7,64.5,,"1,492",50.5,+0.38,97.4,49.8,69.6
E09000018,Hounslow,"2,666",49.4,+0.43,94.9,49.2,68.9,,"1,369",46.5,+0.21,92.8,46.0,65.3,,"1,297",52.4,+0.65,97.1,52.5,72.6
E09000019,Islington,"1,404",46.3,+0.15,95.6,44.2,64.1,,746,44.9,+0.05,94.5,42.8,62.7,,658,47.9,+0.26,96.8,45.7,65.7
E09000020,Kensington and Chelsea,718,51.6,+0.11,97.4,53.8,73.7,,405,52.3,+0.09,97.3,56.8,77.3,,313,50.6,+0.13,97.4,49.8,69.0
