Code,Area,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil
E09000002,Barking and Dagenham,2525,49.7,-
E09000003,Barnet,4010,60.1,-
E09000004,Bexley,3150,53.5,-
E09000005,Brent,3078,53.1,-
E09000006,Bromley,3411,54.5,-
E09000007,Camden,1573,52.2,-
E09000008,Croydon,3755,48.9,-
E09000009,Ealing,3043,53.5,-
E09000010,Enfield,3767,49.8,-
E09000011,Greenwich,2448,50.2,-
E09000012,Hackney,2286,53.2,-
E09000013,Hammersmith and Fulham,1458,56.1,-
E09000014,Haringey,2484,51.4,-
E09000015,Harrow,2334,53.4,-
E09000016,Havering,2842,51.9,-
E09000017,Hillingdon,3301,52.1,-
E09000018,Hounslow,2916,52.6,-
E09000019,Islington,1471,49.7,-
E09000020,Kensington and Chelsea,899,58.0,-
E09000021,Kingston upon Thames,1767,58.9,-
E09000022,Lambeth,2250,49.3,-
E09000023,Lewisham,2305,48.4,-
E09000024,Merton,1555,53.1,-
E09000025,Newham,4079,53.1,-
E09000026,Redbridge,3815,56.0,-
E09000027,Richmond upon Thames,1667,57.5,-
E09000028,Southwark,2659,53.7,-
E09000029,Sutton,2920,61.3,-
E09000030,Tower Hamlets,3082,50.1,-
E09000031,Waltham Forest,2693,50.0,-
E09000032,Wandsworth,1865,52.7,-
E09000033,Westminster,1721,57.1,-
