,,All,,,,,,,Boys,,,,,,,Girls,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass
,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,-,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-
E09000002,Barking and Dagenham,2805,50.5,-,96.3,49.3,70.1,,1451,46.9,-,95.2,42.7,65.9,,1354,54.3,-,97.6,56.3,74.7
E09000003,Barnet,4100,60.8,-,97.5,69.8,84,,2103,58.6,-,97.2,68,82.1,,1997,63.1,-,97.9,71.7,85.9
E09000004,Bexley,3262,54,-,98.3,57.6,75.5,,1690,52.3,-,98.3,55.9,73,,1572,55.8,-,98.2,59.5,78.3
E09000005,Brent,3160,53.7,-,97.7,56.3,75.4,,1614,51.4,-,96.9,54,74.3,,1546,56.1,-,98.4,58.7,76.6
E09000006,Bromley,3356,55.2,-,97.3,59.5,78.8,,1654,52.7,-,96.6,55.9,76.7,,1702,57.7,-,97.9,63,80.8
E09000007,Camden,1644,53.1,-,96.8,54.6,75.3,,728,48,-,94.5,47.3,69.8,,916,57.2,-,98.6,60.4,79.7
E09000008,Croydon,3831,50,-,96.8,50.7,70.4,,1896,46.1,-,95.7,44.2,64.5,,1935,53.8,-,97.9,57,76.2
E09000009,Ealing,3276,53.6,-,97.3,58.7,76.6,,1657,50.3,-,96,54.6,73.7,,1619,56.9,-,98.5,62.9,79.7
E09000010,Enfield,3783,51.1,-,96.9,52,71.1,,1997,48,-,95.6,48.3,67.9,,1786,54.6,-,98.4,56,74.6
E09000011,Greenwich,2695,51.2,-,97.6,52.5,70.8,,1332,48.1,-,97.4,47.9,68.6,,1363,54.1,-,97.8,57,72.9
E09000012,Hackney,2331,54,-,96.9,54.8,73.6,,1110,50.1,-,96.1,49.5,68.3,,1221,57.6,-,97.6,59.5,78.5
E09000013,Hammersmith and Fulham,1458,58.1,-,95.5,65.4,81,,710,55,-,93,63,77.2,,748,61,-,97.9,67.6,84.6
E09000014,Haringey,2514,51.4,-,96.5,53.6,72.6,,1287,49.2,-,95.4,50.3,71,,1227,53.7,-,97.6,57,74.3
E09000015,Harrow,2521,54.8,-,97.7,58.2,75.9,,1234,51,-,97,53.5,72,,1287,58.4,-,98.3,62.8,79.6
E09000016,Havering,2882,52.2,-,97.8,54.9,76.1,,1422,49.3,-,97,50.7,73,,1460,55,-,98.6,59,79
E09000017,Hillingdon,3420,52.8,-,97,54.4,74.2,,1779,50.4,-,96.3,51.3,71.5,,1641,55.4,-,97.8,57.7,77.1
E09000018,Hounslow,2916,53.9,-,97.1,55.6,74.9,,1455,51,-,95.9,51.1,71.5,,1461,56.7,-,98.2,60.1,78.4
E09000019,Islington,1493,52.2,-,95.9,54.1,72.9,,797,50.8,-,95.1,54.1,72,,696,53.8,-,96.8,54.2,73.9
E09000020,Kensington and Chelsea,896,57.9,-,97.3,63.8,82.6,,496,57,-,97.2,64.3,81.9,,400,59,-,97.5,63.3,83.5
E09000021,Kingston upon Thames,1828,61.4,-,96.9,71.6,84.5,,890,58.9,-,96.1,68.4,81.3,,938,63.8,-,97.7,74.6,87.4
E09000022,Lambeth,2264,51.3,-,96.9,51.1,71.5,,1136,48.6,-,96.1,48.2,70.3,,1128,54,-,97.7,53.9,72.7
E09000023,Lewisham,2340,49.1,-,96.4,48.3,67.5,,1236,45.4,-,94.8,43.6,62.1,,1104,53.2,-,98.1,53.6,73.6
E09000024,Merton,1555,53.2,-,97.2,52.6,73.2,,784,51,-,96.8,48.9,70.5,,771,55.4,-,97.7,56.4,76
E09000025,Newham,4311,54.5,-,97.8,54.2,74.3,,2201,52,-,97.1,53,72.7,,2110,57.2,-,98.5,55.5,76
