,,All,,,,,,,Boys,,,,,,,Girls,,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,
,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,2807,49.3,+0.13,97.3,50.6,68.5,,1496,47,-0.04,96.1,47.4,65.4,,1311,51.9,+0.33,98.7,54.2,72,
E09000003,Barnet,4265,58.1,+0.49,97.1,66.8,80.5,,2210,56.9,+0.38,96.5,66.3,80,,2055,59.5,+0.60,97.8,67.3,81.2,
E09000004,Bexley,3215,52.3,-0.09,97.6,54.6,71.9,,1658,50.3,-0.24,97.3,51.6,70,,1557,54.4,+0.08,97.9,57.7,74.1,
E09000005,Brent,3136,52.4,+0.49,96.8,56.7,72.8,,1619,50.5,+0.36,96.1,54.7,71.2,,1517,54.5,+0.63,97.6,58.8,74.5,
E09000006,Bromley,3578,53.9,0.00,96.4,59.8,77.3,,1779,51.5,-0.15,95.8,56.9,75.3,,1799,56.3,+0.14,97,62.6,79.3,
E09000007,Camden,1557,52.4,+0.17,96.6,58.6,75.1,,696,48.7,-0.10,94.5,56.3,71.1,,861,55.4,+0.39,98.3,60.4,78.3,
E09000008,Croydon,3697,47.6,-0.01,96.4,48.9,67.9,,1812,44.2,-0.20,95,43.6,63,,1885,50.8,+0.16,97.7,53.9,72.6,
E09000009,Ealing,3229,53.7,+0.53,97.4,61.4,76.7,,1664,50.9,+0.39,96.9,59.1,75.1,,1565,56.7,+0.69,98,63.8,78.3,
E09000010,Enfield,3786,48.6,+0.17,96,50.2,67.5,,1902,45.4,-0.07,94.8,46.8,64.1,,1884,51.9,+0.41,97.1,53.6,70.9,
E09000011,Greenwich,2740,49.4,-0.01,96.4,51.9,69.8,,1365,47.6,-0.08,95.8,49.9,69.2,,1375,51.1,+0.07,96.9,53.8,70.5,
E09000012,Hackney,2431,51.9,+0.04,97.1,55.8,73.6,,1146,49.6,-0.17,96.4,53.6,72.2,,1285,53.9,+0.23,97.7,57.8,74.9,
E09000013,Hammersmith and Fulham,1453,57.4,+0.37,94.9,66.1,80,,717,55.1,+0.24,92.7,62.1,76.7,,736,59.7,+0.50,97,70.1,83.3,
E09000014,Haringey,2515,50.5,+0.20,96.1,52.3,70.2,,1269,48.4,+0.02,94.6,49.5,67.6,,1246,52.7,+0.39,97.5,55.1,72.8,
E09000015,Harrow,2506,54.2,+0.51,97.5,58.7,74.8,,1206,51.5,+0.26,97,56.2,72.5,,1300,56.6,+0.75,98,61.1,77,
E09000016,Havering,2806,50.3,-0.17,97.1,52.9,71.6,,1422,47.8,-0.34,96.6,50.3,69.5,,1384,52.9,0.00,97.8,55.6,73.8,
E09000017,Hillingdon,3417,51.8,+0.33,96.6,56,74.9,,1771,49.6,+0.16,96.2,52.3,73.1,,1646,54.1,+0.52,97,60,76.9,
E09000018,Hounslow,3026,52.6,+0.47,95.8,58.5,75.2,,1639,51,+0.36,94.4,57,73.2,,1387,54.5,+0.59,97.3,60.2,77.5,
E09000019,Islington,1496,49.9,+0.07,95.7,52.7,70.5,,826,49.4,+0.07,95.6,50.7,69.7,,670,50.4,+0.08,95.8,55.1,71.5,
E09000020,Kensington and Chelsea,908,53.6,-0.11,97.6,64.6,79.7,,520,53.6,-0.12,97.5,65.6,79.4,,388,53.6,-0.08,97.7,63.4,80.2,
E09000021,Kingston upon Thames,1782,60.2,+0.50,96.2,68.9,82.5,,889,57.8,+0.31,96.2,67.6,81.3,,893,62.5,+0.68,96.3,70.2,83.8,
E09000022,Lambeth,2356,46.3,-0.15,95.5,47.3,66.1,,1235,44.3,-0.31,94.6,43.6,64.1,,1121,48.4,+0.03,96.5,51.3,68.2,
