2022/23,,All,,,,,,,Boys,,,,,,,Girls,,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,Percentage of pupils entering English and Mathematics GCSEs,,,,Total number of pupils at the end of key stage 4,Average Attainment 8 score of all pupils,Average Progress 8 score of all pupils,Percentage of pupils entering English and Mathematics GCSEs,,,,Total number of pupils at the end of key stage 4,Average Attainment 8 score of all pupils,Average Progress 8 score of all pupils,Percentage of pupils entering English and Mathematics GCSEs,,,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,,,,,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,,,,,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,
,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,,,,,,,,,,,,,,,,,,,,,
E09000007,Camden,"1,601",48.0,-0.03,94.8,50.3,67.9,,735,43.9,-0.29,0.925,0.464,0.62,,866,51.4,+0.20,0.967,0.536,0.729,
E09000012,Hackney,"2,449",51.4,+0.34,96.9,53.4,71.7,,"1,130",48.5,+0.14,0.962,0.516,0.682,,"1,319",53.8,+0.52,0.975,0.549,0.746,
E09000013,Hammersmith and Fulham,"1,519",54.8,+0.47,94.3,61.4,77.2,,757,53.3,+0.43,0.927,0.605,0.75,,762,56.2,+0.51,0.959,0.623,0.794,
E09000014,Haringey,"2,716",48.2,+0.21,96.5,47.7,65.9,,"1,400",45.8,+0.04,0.953,0.461,0.632,,"1,316",50.7,+0.38,0.977,0.495,0.688,
E09000019,Islington,"1,530",46.7,-0.03,94.4,46.8,65.6,,814,45.6,-0.06,0.937,0.45,0.656,,716,48.0,0.00,0.953,0.489,0.656,
E09000020,Kensington and Chelsea,997,53.5,+0.30,96.8,59.2,75.4,,600,52.8,+0.27,0.968,0.6,0.767,,397,54.4,+0.34,0.967,0.579,0.736,
E09000022,Lambeth,"2,440",44.8,+0.01,95.7,44.3,62.9,,"1,231",42.4,-0.12,0.942,0.425,0.607,,"1,209",47.2,+0.14,0.974,0.462,0.651,
E09000023,Lewisham,"2,282",45.4,0.00,94.9,44.5,61,,"1,131",42.7,-0.09,0.931,0.424,0.588,,"1,151",48.0,+0.09,0.967,0.466,0.632,
E09000025,Newham,"4,613",51.1,+0.25,97.5,54.3,71.8,,"2,340",48.4,+0.07,0.967,0.517,0.693,,"2,273",53.8,+0.43,0.983,0.57,0.744,
E09000028,Southwark,"3,117",51.9,+0.38,97.1,55.4,73.1,,"1,529",50.3,+0.29,0.965,0.55,0.723,,"1,588",53.5,+0.46,0.977,0.558,0.739,
E09000030,Tower Hamlets,"3,085",48.6,+0.21,94.2,53.1,69.3,,"1,564",45.9,+0.05,0.923,0.52,0.68,,"1,521",51.3,+0.36,0.961,0.542,0.707,
E09000032,Wandsworth,"2,099",50.4,+0.33,95.2,55.8,71.1,,"1,124",48.3,+0.23,0.936,0.547,0.695,,975,52.7,+0.44,0.97,0.57,0.729,
E09000033,Westminster,"1,772",54.3,+0.48,97.4,59.9,76,,845,50.5,+0.27,0.969,0.55,0.729,,927,57.7,+0.67,0.978,0.644,0.789,
,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,"3,042",48.0,+0.24,97.2,48.5,66,,"1,617",44.9,+0.03,0.96,0.447,0.63,,"1,425",51.4,+0.47,0.985,0.528,0.693,
E09000003,Barnet,"4,491",57.1,+0.64,97.6,66,80.1,,"2,365",55.9,+0.57,0.97,0.664,0.793,,"2,126",58.5,+0.72,0.983,0.655,0.809,
E09000004,Bexley,"3,313",49.7,-0.06,97.4,51.6,69.4,,"1,704",48.4,-0.17,0.975,0.513,0.677,,"1,609",51.0,+0.05,0.973,0.519,0.712,
E09000005,Brent,"3,226",50.5,+0.61,97.2,51.7,68,,"1,712",48.5,+0.48,0.962,0.502,0.668,,"1,514",52.8,+0.76,0.983,0.535,0.694,
E09000006,Bromley,"3,693",51.2,+0.04,96.6,55.2,73.2,,"1,826",48.7,-0.13,0.956,0.519,0.697,,"1,867",53.6,+0.21,0.976,0.584,0.766,
E09000008,Croydon,"3,906",45.7,+0.01,95.9,44.9,64.5,,"2,031",42.9,-0.15,0.945,0.419,0.613,,"1,875",48.7,+0.19,0.973,0.48,0.679,
